Feature_ID|Feature_Name|Class|State_Alpha|State_num|County|County_num|Primary_lat_DMS|Primary_lon_DMS|Primary_lat_DEC|Primary_lon_DEC|Source_State_Alpha|Source_lat_DMS|Source_lon_DMS|Source_lat_DEC|Source_lon_DEC|Elevation_Meters|Map_Name
1721350|Wyman Dam Post Office|Post Office|ME|23|Somerset|025|450414N|0695328W|45.0706113|-69.8911705||||||143|Bingham
1721351|Mount Desert Post Office|Post Office|ME|23|Hancock|009|442144N|0682003W|44.3623013|-68.3341836||||||5|Southwest Harbor
1729675|Town of Hersey|Civil|ME|23|Aroostook|003|460500N|0682358W|46.083383|-68.3994762||||||227|Mount Chase
1729676|Town of Long Island|Civil|ME|23|Cumberland|005|434120N|0700858W|43.6889715|-70.149492||||||-1|Portland East
1759221|Nicolin Siding|Locale|ME|23|Hancock|009|443709N|0683043W|44.6192411|-68.5119683||||||83|Branch Lake
1773517|Brunswick Dam|Dam|ME|23|Aroostook|003|435512N|0695758W|43.9200798|-69.9661613||||||7|Brunswick
1773518|Androscoggin River Reservoir|Reservoir|ME|23|Aroostook|003|435512N|0695758W|43.9200798|-69.9661613||||||7|Brunswick
1773519|Topsham Dam|Dam|ME|23|Sagadahoc|023|435512N|0695810W|43.9200798|-69.9694947||||||14|Brunswick
1773520|Androscoggin River Reservoir|Reservoir|ME|23|Sagadahoc|023|435512N|0695810W|43.9200798|-69.9694947||||||14|Brunswick
1773521|Pejepscot Dam|Dam|ME|23|Sagadahoc|023|435724N|0700128W|43.9567456|-70.0244963||||||14|Lisbon Falls South
1773522|Androscoggin River Reservoir|Reservoir|ME|23|Sagadahoc|023|435724N|0700128W|43.9567456|-70.0244963||||||14|Lisbon Falls South
1773523|Lisbon Falls Dam|Dam|ME|23|Androscoggin|001|435936N|0700346W|43.9934109|-70.0628305||||||22|Lisbon Falls South
1773524|Androscoggin River Reservoir|Reservoir|ME|23|Androscoggin|001|435936N|0700346W|43.9934109|-70.0628305||||||22|Lisbon Falls South
1773525|Lewiston Falls Project Dam|Dam|ME|23|Androscoggin|001|440606N|0701316W|44.1017398|-70.2211654||||||49|Lewiston
1773526|Androscoggin River Reservoir|Reservoir|ME|23|Androscoggin|001|440606N|0701316W|44.1017398|-70.2211654||||||49|Lewiston
1773528|Androscoggin River Reservoir|Reservoir|ME|23|Androscoggin|001|440806N|0701204W|44.1350726|-70.2011653||||||63|Lake Auburn East
1773531|Livermore Falls Dam|Dam|ME|23|Androscoggin|001|442812N|0701128W|44.4700649|-70.1911696||||||105|Livermore Falls
1773532|Androscoggin River Reservoir|Reservoir|ME|23|Androscoggin|001|442812N|0701128W|44.4700649|-70.1911696||||||105|Livermore Falls
1773533|Otis Dam|Dam|ME|23|Franklin|007|442842N|0701204W|44.478398|-70.2011699||||||100|Livermore Falls
1773534|Androscoggin River Reservoir|Reservoir|ME|23|Franklin|007|442842N|0701204W|44.478398|-70.2011699||||||100|Livermore Falls
1773535|Jay Dam|Dam|ME|23|Franklin|007|443006N|0701322W|44.5017307|-70.2228374||||||107|Wilton
1773536|Androscoggin River Reservoir|Reservoir|ME|23|Franklin|007|443006N|0701322W|44.5017307|-70.2228374||||||107|Wilton
1773537|Riley Dam|Dam|ME|23|Franklin|007|443012N|0701504W|44.5033972|-70.2511713||||||108|East Dixfield
1773538|Androscoggin River Reservoir|Reservoir|ME|23|Franklin|007|443012N|0701504W|44.5033972|-70.2511713||||||108|East Dixfield
1773539|Middle Dam|Dam|ME|23|Oxford|017|443230N|0703246W|44.5417305|-70.5461766||||||152|Rumford
1773540|Androscoggin River Reservoir|Reservoir|ME|23|Oxford|017|443230N|0703246W|44.5417305|-70.5461766||||||152|Rumford
1773541|Upper Dam|Dam|ME|23|Oxford|017|443206N|0703240W|44.535064|-70.5445098||||||187|Rumford
1773542|Androscoggin River Reservoir|Reservoir|ME|23|Oxford|017|443206N|0703240W|44.535064|-70.5445098||||||187|Rumford
1773543|Sleeper Dam|Dam|ME|23|Androscoggin|001|440718N|0700628W|44.1217404|-70.1078307||||||72|Lisbon Falls North
